id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;st_asgeojson
377;7105;GUIRALDES, INT.;2672;2720;2671;2719;;CALLE;corrección nombre;Ciclovías en obra;;;;{"type":"MultiLineString","coordinates":[[[-58.4386026255247,-34.5459538118206],[-58.4385590301777,-34.5456887396068],[-58.4385551918832,-34.5453424785639]]]}
896;16003;OBLIGADO RAFAEL, Av.Costanera;6182;6200;6181;6199;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4292160149382,-34.550846455114],[-58.4296897417879,-34.5505228493016]]]}
1035;16003;OBLIGADO RAFAEL, Av.Costanera;5992;6100;5991;6099;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4269016815398,-34.5519702167142],[-58.4284803082508,-34.5512832687335]]]}
1079;16003;OBLIGADO RAFAEL, Av.Costanera;5902;5990;5901;5989;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4260238726101,-34.5522978586417],[-58.4269016815398,-34.5519702167142]]]}
1181;16003;OBLIGADO RAFAEL, Av.Costanera;5502;5900;5501;5899;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4235789340143,-34.5531261519863],[-58.4241087815299,-34.5529463816078],[-58.4248091036299,-34.5527320851862],[-58.4260238726101,-34.5522978586417]]]}
1724;16003;OBLIGADO RAFAEL, Av.Costanera;4202;4500;4201;4499;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4111695368984,-34.5576819724655],[-58.4121068758127,-34.5570324277086],[-58.4127918177818,-34.5566033935411],[-58.413768264828,-34.5560734533812]]]}
1828;16003;OBLIGADO RAFAEL, Av.Costanera;3452;4200;3451;4199;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4097778347315,-34.558784480676],[-58.4105854615027,-34.5581408541548],[-58.4111695368984,-34.5576819724655]]]}
2235;6025;FIGUEROA ALCORTA, PRES. AV.;5382;5400;5381;5399;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4233683615388,-34.5626785580402],[-58.423573603001,-34.5624072309786],[-58.423722541812,-34.5622332667196],[-58.4239023500394,-34.5620170093619]]]}
2387;6025;FIGUEROA ALCORTA, PRES. AV.;5302;5380;5301;5379;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4225999203074,-34.5640366780426],[-58.4227811404168,-34.5637327803425],[-58.4232746602956,-34.5628014910189],[-58.4233683615388,-34.5626785580402]]]}
4846;20075;SARMIENTO AV.;2602;3100;2601;3099;;AVENIDA;corrección numeración 22-1;Ciclovías;Mano izquierda;Vereda;;{"type":"MultiLineString","coordinates":[[[-58.4205842879586,-34.5807941144418],[-58.4172679537224,-34.5773494677747]]]}
7367;21059;TRONADOR;0;0;0;0;ESTOMBA Y PLAZA;CALLE;s/n corrección 10-1;Bicisendas;;;;{"type":"MultiLineString","coordinates":[[[-58.4743341495831,-34.5923059940027],[-58.4730262226533,-34.5912561534917],[-58.472994451924,-34.5912051682321],[-58.4730156481302,-34.5911367130143]]]}
8300;1087;ANTARTIDA ARGENTINA AV.;0;0;0;0;;AVENIDA;;Ciclovías;Mano izquierda;Vereda;;{"type":"MultiLineString","coordinates":[[[-58.3686183127806,-34.5969187857638],[-58.3695819066381,-34.5942154064155]]]}
8646;7135;GRIERSON, CECILIA;52;100;51;99;;CALLE;corrección nombre y núm.28-1;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3681163318431,-34.5984371881812],[-58.36798070147,-34.5984018703661],[-58.367777702989,-34.5982929760833],[-58.3673594031048,-34.5982597613952],[-58.3666064564148,-34.5983250183593],[-58.3659609314573,-34.5982928169569]]]}
29027;23484;VILLAFLOR, AZUCENA;0;0;0;0;MONSERRAT-BELGRANO, AV.;BOULEVARD;corrección númeración 28-1;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3634219847072,-34.6117163447285],[-58.3635497985666,-34.6117473356612],[-58.3636549669589,-34.6117856367009]]]}
14271;20030;CALABRIA AV.;0;0;0;0;SANCHEZ, FLORENCIO;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3580771647541,-34.6171622825112],[-58.3579647653707,-34.617736149751],[-58.3577032034707,-34.6192549964265]]]}
24549;12172;LAVADERO;2102;2200;2101;2199;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3741861848045,-34.6564837743008],[-58.374425738556,-34.6566217362503],[-58.374768585955,-34.6567511861103],[-58.375102934831,-34.6568289070611],[-58.3753384256734,-34.6568260537498]]]}
1531;2083;BLANCO ENCALADA;1802;1850;1801;1849;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4538859370708,-34.556124632585],[-58.4537719639386,-34.5560563817592],[-58.453544273595,-34.5559199502312]]]}
12147;20030;CALABRIA AV.;0;0;0;0;SANCHEZ, FLORENCIO;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.35896767826,-34.6117674294949],[-58.3589165018053,-34.6118223175172],[-58.3588507298155,-34.6119009967637],[-58.3588166013779,-34.611946180595],[-58.3587871559818,-34.6119928473314],[-58.3587565763472,-34.6120610631608],[-58.358727026731,-34.6121229416046],[-58.3587087804456,-34.6122053937913],[-58.3587063940666,-34.6122747604343],[-58.358706309847,-34.6123422979875],[-58.3586764411541,-34.6125915772019]]]}
10391;4046;DE LOS ITALIANOS AV.;0;0;0;0;;AVENIDA;corrección numeración 29-1;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3612789606035,-34.6053918872289],[-58.3594357542664,-34.6106203620685]]]}
27748;20127;SUPERI;0;0;0;0;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4615491593006,-34.5735079726459],[-58.4617302962928,-34.5734321894167]]]}
27809;7109;GUTENBERG;0;0;0;0;LA VIA DEL TRANVIA REAL;CALLE;;Bicisendas;;;;{"type":"MultiLineString","coordinates":[[[-58.4697538828259,-34.5921888178968],[-58.4743341495831,-34.5923059940027]]]}
28963;12107;DEL LIBERTADOR AV.;0;0;5451;5499;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4433696292422,-34.5617178987094],[-58.4443133575758,-34.5614462132539]]]}
60;16002;VUELTA DE OBLIGADO;4802;4900;4801;4899;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4737109603418,-34.5393651469221],[-58.474141009074,-34.5387847272268]]]}
80;16002;VUELTA DE OBLIGADO;4702;4800;4701;4799;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4731342057568,-34.5401435449546],[-58.4737109603418,-34.5393651469221]]]}
102;16002;VUELTA DE OBLIGADO;4602;4700;4601;4699;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.472565779754,-34.5409111643269],[-58.473015160511,-34.5403042670308],[-58.4731342057568,-34.5401435449546]]]}
136;16002;VUELTA DE OBLIGADO;4502;4600;4501;4599;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4719930034228,-34.5416846970651],[-58.472565779754,-34.5409111643269]]]}
178;16002;VUELTA DE OBLIGADO;4402;4500;4401;4499;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4714513623062,-34.5424170256405],[-58.4715670095841,-34.5422600379635],[-58.4719930034228,-34.5416846970651]]]}
180;19047;RIVADAVIA MARTIN, COMODORO;0;0;1601;1699;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4637197526703,-34.5424512802497],[-58.4631815565992,-34.5415838193244]]]}
203;19047;RIVADAVIA MARTIN, COMODORO;1702;1740;0;0;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4638881040294,-34.5427700967708],[-58.4637197526703,-34.5424512802497]]]}
224;16002;VUELTA DE OBLIGADO;4302;4400;4301;4399;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4708751617976,-34.5431993564281],[-58.4714513623062,-34.5424170256405]]]}
