id;nombre;piso;depto;codigo_pos;direccion;barrio;comuna;dias_y_hor;telefonos;email;web;actividad;depende;publico;sector;activ;lon;lat
1;Casa del Historiador - Archivo Histórico de la Ciudad de Buenos Aires;PB;;1066;BOLIVAR 466;Monserrat;Comuna 1;Lunes a Viernes de 9:00 a 17:00.;4339-1900 // 4339-1910;archivohistorico@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/patrimonio_instituto_historico/?menu_id=29468/;Archivo;Ministerio de Cultura - Dirección General de Patrimonio e Instituto Histórico;General;Estado Municipal;Biblioteca||Editorial;-58.3732;-34.6132840978885
2;Espacio Virrey Liniers;;;1095;VENEZUELA 469;Monserrat;Comuna 1;Martes a Domingos 14:00 a 19:00.;4339-1900 // 4339-1910;nsabatini@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/patrimonio_instituto_historico/?menu_id=29468;Archivo;Ministerio de Cultura - Dirección General de Patrimonio e Instituto Histórico;General;Estado Municipal;Espacio de Formación (Carreras, Seminarios y Talleres)||Espacio Escénico (Teatro, Música y Danza);-58.3728;-34.6136573093037
3;Biblioteca  Canónigo Luis José de Chorroarín;1;Block 23;1439;SOLDADO DE LA FRONTERA AV. 5059;Villa Lugano;Comuna 8;Lunes a Viernes 10:00 a 17:00.;4605-9341;biblioteca_chorroarin@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4651;-34.6838054880071
4;Biblioteca Alfonsina Storni;1;;1095;VENEZUELA 1538;Monserrat;Comuna 1;Lunes a Viernes de 12:30 a 19:00.;4381-9345;biblioteca_storni@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.3881;-34.6147409389562
5;Biblioteca Alvaro Yunque (Biblioteca Infantil);;Block 28;1439;SOLDADO DE LA FRONTERA AV. 5210;Villa Lugano;Comuna 8;Lunes a Viernes de 10:00 a 17:00.;4605-0603;biblioteca_yunque@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;Niños;Estado Municipal;;-58.4636;-34.6850082446224
6;Biblioteca Antonio Devoto (con anexo infantil);PB;;1419;BAHIA BLANCA 4025;Villa Devoto;Comuna 11;Lunes a Viernes de 8:00 a 18:00.;4501-4320;biblioteca_devoto@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.5109;-34.5993155428049
7;Biblioteca Baldomero Fernández Moreno;PB;;1427;ARENAL, CONCEPCION 4206;Chacarita;Comuna 15;Lunes a Viernes de 10:00 a 19:00.;4855-7508;;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4504;-34.5913561143258
8;Biblioteca Benito Lynch (con anexo infantil);PB;;1440;YRUPE 6714;Mataderos;Comuna 9;Lunes a Viernes de 10:00 a 17:00.;4687-1977;biblioteca_lynch@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4969;-34.6676791758505
9;Biblioteca Brigadier General Cornelio Saavedra;;;1431;LARRALDE, CRISOLOGO AV. 6293;Saavedra;Comuna 12;Lunes a Viernes de 10.00 a 17:00. Sábados, Domingos y Feriados cerrado.;4571-2538;biblioteca_saavedra@buenosaires.gob.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.5072;-34.5687224273459
10;Biblioteca Carlos Guido y Spano;PB;;1425;GUEMES 4601;Palermo;Comuna 14;Lunes a Viernes de 10:00 a 17:00.;4773-5862;bibliotecaguidoyspano@yahoo.com.ar;http://www.buenosaires.gov.ar/areas/cultura/dg_libro;Biblioteca;Ministerio de Cultura - Dirección General del Libro, Bibliotecas y Promoción de la Lectura;General;Estado Municipal;;-58.4238;-34.5813213243998
