id;nombre;intersec;lin_sent_n;lin_sent_s;metrobus;lon;lat
1;Liniers;;34 - 109 - 166;34 - 109 - 166;Metrobus Juan B. Justo;-58.5261;-34.6383
2;Velez Sarsfield;;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo;-58.5201;-34.6335
3;Polideportivo Velez Sarsfield;JUSTO JUAN B. & GARCIA JUAN AGUSTIN;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo;-58.5139;-34.6335
4;Cortina;JUSTO JUAN B. & CORTINA;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo;-58.5067;-34.6343
5;Av. Lope de Vega;JUSTO JUAN B. & LOPE DE VEGA;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo;-58.501;-34.6322
6;Carrasco;JUSTO JUAN B. & CARRASCO;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo;-58.4949;-34.6295
7;Av. Segurola;JUSTO JUAN B. & SEGUROLA;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo;-58.4911;-34.627
8;Chivilcoy;JUSTO JUAN B. & CHIVILCOY;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.4859;-34.6251
9;Concordia;JUSTO JUAN B. & CONCORDIA;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.4808;-34.622
10;Av. Nazca;JUSTO JUAN B. & NAZCA;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.4761;-34.6181
11;Artigas;JUSTO JUAN B. & ARTIGAS JOSE GERVASIO GRAL;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.4723;-34.6138
12;Boyaca;JUSTO JUAN B. & BOYACA;34 - 110 - 166;34 - 110 - 166;Metrobus Juan B. Justo;-58.4678;-34.6113
13;Av. Donato Alvarez;JUSTO JUAN B. & ALVAREZ DONATO Tte. Gral.;34 - 110 - 166;34 - 110 - 166;Metrobus Juan B. Justo;-58.4627;-34.6074
14;Av. San Martín;JUSTO JUAN B. & SAN MARTIN AV.;34 - 109 - 110 - 166;34 - 109 - 110 - 166;Metrobus Juan B. Justo;-58.4585;-34.6045
15;Av. Honorio Pueyrredón;JUSTO JUAN B. & PUEYRREDON HONORIO DR.;34 - 109 - 166;34 - 109 - 166;Metrobus Juan B. Justo;-58.4521;-34.6001
16;Murillo;JUSTO JUAN B. & MURILLO;34 - 109 - 166;34 - 109 - 166;Metrobus Juan B. Justo;-58.4477;-34.5971
17;Av. Corrientes;JUSTO JUAN B. & CORRIENTES;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.4443;-34.5948
18;Aguirre;JUSTO JUAN B. & AGUIRRE;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.4407;-34.5923
20;Honduras;JUSTO JUAN B. & HONDURAS;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.4348;-34.5854
21;Guatemala;JUSTO JUAN B. & GUATEMALA;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.43;-34.5819
23;Pacífico;BULLRICH INT AV & SANTA FE;34 - 166;34 - 166;Metrobus Juan B. Justo;-58.4265;-34.5776
27;Estados Unidos;Entre Carlos Calvo y Estados Unidos;10 -- 17 -- 59;59 -- 10 -- 17;Metrobus 9 de Julio;-58.3809;-34.6189
28;Independencia;Entre Estados Unidos e Independencia;45 -- 70;45 -- 70;Metrobus 9 de Julio;-58.3809;-34.6179
29;Chile;Entre Independencia y Chile;9 -- 91 -- 100;100 -- 9 -- 91;Metrobus 9 de Julio;-58.3809;-34.6167
30;México;Entre Chile y México;67 -- 98 -- 129;67 -- 129;Metrobus 9 de Julio;-58.381;-34.6155
31;Venezuela;Entre México y Venezuela;10 -- 17 -- 59;59 -- 10 -- 17;Metrobus 9 de Julio;-58.381;-34.6145
32;Belgrano;Entre Venezuela y Belgrano;45 -- 70 -- 100;100 -- 45 -- 70;Metrobus 9 de Julio;-58.381;-34.6135
33;Alsina;Entre Moreno y Alsina;129;129;Metrobus 9 de Julio;-58.3812;-34.6111
34;Yrigoyen;Entre Alsina e Hipólito Yrigoyen;9 -- 91 -- 67;67 -- 9 -- 91;Metrobus 9 de Julio;-58.3813;-34.6099
35;Mitre;Entre Rivadavia y Bartolomé Mitro;10 -- 17 -- 59;59 -- 10 -- 17;Metrobus 9 de Julio;-58.3814;-34.6076
36;Juan D. Perón;Entre Bartolomé Mitre y Perón;45 -- 70 -- 100;100 -- 45 -- 70;Metrobus 9 de Julio;-58.3815;-34.6065
37;Obelisco Sur;Entre Juan D. Perón y Sarmiento;9 -- 67 -- 129;9 -- 67 -- 129;Metrobus 9 de Julio;-58.3815;-34.6054
38;Obelisco Norte;Entre Lavalle y Tucumán;100 -- 17 -- 59;59 -- 100 -- 17;Metrobus 9 de Julio;-58.3818;-34.6017
39;Teatro Colón;Entre Tucumán y Viamonte;45 -- 70 -- 10;10 -- 45 -- 70;Metrobus 9 de Julio;-58.3818;-34.6006
40;Córdoba;Entre Viamonte y Av Córdoba;9 -- 67;67 -- 9;Metrobus 9 de Julio;-58.3819;-34.5994
41;Paraguay;Entre Av Córdoba y Paraguay;10 -- 17 -- 59;59 -- 10 -- 17;Metrobus 9 de Julio;-58.3819;-34.5983
42;Marcelo T. de Alvear;Entre Paraguay y Marcelo T. de Alvear;129;129;Metrobus 9 de Julio;-58.382;-34.5971
43;Santa Fe;Entre Marcelo T. de Alvear y Av. Santa Fe;100 -- 70 -- 67;100 -- 70 -- 67;Metrobus 9 de Julio;-58.3821;-34.5958
44;Constitución;;;;Metrobus Sur;-58.3796;-34.6278
45;Combate de los Pozos;Entre Combate de los Pozos y Entre Ríos;;4 - 143;Metrobus Sur - Ramal Fernández de la Cruz;-58.3916;-34.6273
46;Pichincha;Entre Pasco y Pichincha;;4 - 143;Metrobus Sur - Ramal Fernández de la Cruz;-58.3961;-34.628
47;Jujuy;Entre jujuy y Alberti;;4 - 143;Metrobus Sur - Ramal Fernández de la Cruz;-58.4008;-34.6287
48;La Rioja;Entre La rioja y Gral Urquiza;;143;Metrobus Sur - Ramal Fernández de la Cruz;-58.4072;-34.6312
49;Sánchez de Loria;Entre 24 de Noviembre y Sánchez de Loria;143;143;Metrobus Sur - Ramal Fernández de la Cruz;-58.4103;-34.6337
50;Boedo;Entre Álzaga y Boedo;143;101 - 143;Metrobus Sur - Ramal Fernández de la Cruz;-58.4153;-34.6369
